,date,hour,menu,city,time
245,2020-05-31,15,치킨,양천구,15.92
246,2020-05-31,15,치킨,영등포구,26.24
247,2020-05-31,15,치킨,은평구,18.51
248,2020-05-31,16,치킨,구로구,27.18
249,2020-05-31,16,치킨,금천구,21.42
250,2020-05-31,16,치킨,도봉구,20.9
251,2020-05-31,16,치킨,동작구,19.98
252,2020-05-31,16,치킨,양천구,31.28
253,2020-05-31,16,치킨,영등포구,29.69
254,2020-05-31,16,치킨,은평구,29.88
255,2020-05-31,17,치킨,구로구,29.46
256,2020-05-31,17,치킨,금천구,22.46
257,2020-05-31,17,치킨,도봉구,24.01
258,2020-05-31,17,치킨,동작구,29.04
259,2020-05-31,17,치킨,양천구,8.75
260,2020-05-31,17,치킨,영등포구,30.62
261,2020-05-31,17,치킨,은평구,26.26
262,2020-05-31,18,치킨,구로구,33.54
263,2020-05-31,18,치킨,금천구,21.08
264,2020-05-31,18,치킨,도봉구,28.13
265,2020-05-31,18,치킨,동작구,27.69
266,2020-05-31,18,치킨,양천구,30.07
267,2020-05-31,18,치킨,영등포구,33.6
268,2020-05-31,18,치킨,은평구,27.2
269,2020-05-31,19,치킨,구로구,31.78
270,2020-05-31,19,치킨,금천구,23.88
271,2020-05-31,19,치킨,도봉구,27.1
272,2020-05-31,19,치킨,동작구,25.2
273,2020-05-31,19,치킨,영등포구,29.82
274,2020-05-31,19,치킨,은평구,26.48
275,2020-05-31,20,치킨,구로구,26.26
276,2020-05-31,20,치킨,금천구,21.79
277,2020-05-31,20,치킨,도봉구,20.1
278,2020-05-31,20,치킨,동작구,21.72
279,2020-05-31,20,치킨,양천구,27.19
280,2020-05-31,20,치킨,영등포구,30.01
281,2020-05-31,20,치킨,은평구,29.95
282,2020-05-31,21,치킨,구로구,27.27
283,2020-05-31,21,치킨,금천구,21.45
284,2020-05-31,21,치킨,도봉구,23.39
285,2020-05-31,21,치킨,동작구,29.08
286,2020-05-31,21,치킨,양천구,22.15
287,2020-05-31,21,치킨,영등포구,31.02
288,2020-05-31,21,치킨,은평구,26.34
289,2020-05-31,22,치킨,구로구,29.79
290,2020-05-31,22,치킨,금천구,23.77
291,2020-05-31,22,치킨,도봉구,24.4
292,2020-05-31,22,치킨,동작구,27.71
293,2020-05-31,22,치킨,양천구,39.43
294,2020-05-31,22,치킨,영등포구,35.84
295,2020-05-31,22,치킨,은평구,20.83
296,2020-05-31,23,치킨,구로구,29.11
297,2020-05-31,23,치킨,금천구,17.93
298,2020-05-31,23,치킨,도봉구,20.15
299,2020-05-31,23,치킨,동작구,22.21
300,2020-05-31,23,치킨,영등포구,29.67
301,2020-05-31,23,치킨,은평구,21.94
