,date,hour,city,time
377,2020-05-04,20,금천구,23.43
378,2020-05-04,20,도봉구,25.99
379,2020-05-04,20,동작구,22.43
380,2020-05-04,20,양천구,28.32
381,2020-05-04,20,영등포구,28.94
382,2020-05-04,20,은평구,28.03
383,2020-05-04,21,구로구,28.37
384,2020-05-04,21,금천구,22.85
385,2020-05-04,21,도봉구,25.8
386,2020-05-04,21,동작구,26.36
387,2020-05-04,21,양천구,26.25
388,2020-05-04,21,영등포구,25.13
389,2020-05-04,21,은평구,27.03
390,2020-05-04,22,구로구,27.67
391,2020-05-04,22,금천구,20.38
392,2020-05-04,22,도봉구,23.43
393,2020-05-04,22,동작구,31.43
394,2020-05-04,22,양천구,31.71
395,2020-05-04,22,영등포구,22.64
396,2020-05-04,22,은평구,22.5
397,2020-05-04,23,구로구,25.88
398,2020-05-04,23,금천구,18.77
399,2020-05-04,23,도봉구,21.98
400,2020-05-04,23,동작구,45.81
401,2020-05-04,23,영등포구,32.05
402,2020-05-04,23,은평구,25.13
403,2020-05-05,0,구로구,29.13
404,2020-05-05,0,금천구,18.93
405,2020-05-05,0,동작구,22.0
406,2020-05-05,0,영등포구,25.02
407,2020-05-05,0,은평구,21.54
408,2020-05-05,1,구로구,21.24
409,2020-05-05,1,금천구,16.62
410,2020-05-05,1,영등포구,26.17
411,2020-05-05,1,은평구,18.01
412,2020-05-05,2,영등포구,16.92
413,2020-05-05,9,동작구,43.72
414,2020-05-05,9,영등포구,24.96
415,2020-05-05,10,동작구,21.59
416,2020-05-05,10,영등포구,22.67
417,2020-05-05,11,구로구,23.34
418,2020-05-05,11,금천구,24.33
419,2020-05-05,11,동작구,36.15
420,2020-05-05,11,영등포구,27.8
421,2020-05-05,11,은평구,17.77
422,2020-05-05,12,구로구,27.9
423,2020-05-05,12,금천구,27.4
424,2020-05-05,12,도봉구,26.12
425,2020-05-05,12,동작구,23.05
426,2020-05-05,12,영등포구,32.69
427,2020-05-05,12,은평구,27.36
428,2020-05-05,13,구로구,28.18
429,2020-05-05,13,금천구,25.42
430,2020-05-05,13,도봉구,25.79
431,2020-05-05,13,동작구,36.92
432,2020-05-05,13,양천구,31.98
433,2020-05-05,13,영등포구,34.39
434,2020-05-05,13,은평구,27.07
435,2020-05-05,14,구로구,22.59
436,2020-05-05,14,금천구,23.19
437,2020-05-05,14,도봉구,24.56
438,2020-05-05,14,동작구,41.58
439,2020-05-05,14,양천구,26.38
440,2020-05-05,14,영등포구,18.11
441,2020-05-05,14,은평구,25.98
442,2020-05-05,15,구로구,25.2
443,2020-05-05,15,금천구,22.1
444,2020-05-05,15,도봉구,28.66
445,2020-05-05,15,동작구,27.28
446,2020-05-05,15,영등포구,29.53
447,2020-05-05,15,은평구,26.76
448,2020-05-05,16,구로구,24.36
449,2020-05-05,16,금천구,22.34
450,2020-05-05,16,도봉구,22.89
451,2020-05-05,16,동작구,21.39
452,2020-05-05,16,양천구,25.5
